episode_id,episode_label,sensor_origin,sensor_types,objects
1,episode-1,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
2,episode-2,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
3,episode-3,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
4,episode-4,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
5,episode-5,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
6,episode-6,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
7,episode-7,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
8,episode-8,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
9,episode-9,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
10,episode-10,"[0.0, 0.0, 0.3]","[""ultrasound"", ""wifi"", ""uwb""]","[{""id"": 1, ""kind"": ""floor"", ""center"": [0.0, 0.0, 0.0], ""size"": [3.0, 3.0, 0.1], ""material"": ""wood""}, {""id"": 2, ""kind"": ""wall"", ""center"": [1.0, 0.0, 1.25], ""size"": [0.1, 3.0, 2.5], ""material"": ""wood""}, {""id"": 3, ""kind"": ""table"", ""center"": [0.0, 0.0, 0.4], ""size"": [1.2, 0.6, 0.05], ""material"": ""wood""}, {""id"": 4, ""kind"": ""human"", ""center"": [0.0, 0.0, 0.8], ""size"": [0.6, 0.4, 0.7], ""material"": ""human""}, {""id"": 5, ""kind"": ""cup"", ""center"": [0.0, 0.0, 0.75], ""size"": [0.08, 0.08, 0.1], ""material"": ""ceramic""}, {""id"": 6, ""kind"": ""glass_wall"", ""center"": [-1.45, 0.0, 1.25], ""size"": [0.05, 3.0, 2.0], ""material"": ""glass""}]"
